UserId,UserName,FirstName,LastName,Password,Permission
,aspedroni7,Alverta,Spedroni,nh4FPTqzeWdG,1
,aweymouthl,Alaine,Weymouth,OPicUhuNW3e,1
,btejero5b,Blanch,Tejero,kDIVB8IX1eZA,1
,cbesterh,Currie,Bester,a8yVluMz,1
,cclampett59,Calypso,Clampett,bOuFxpPWlri2,1
,cmcculloghj,Cate,McCullogh,O5un64OilNsR,1
,cnosworthyd,Cecile,Nosworthy,LFmneTImP,1
,csievei,Clarinda,Sieve,rc8mzOa,1
,cstihlk,Carolyn,Stihl,7MYVDeM,1
,dbonafant5,Daniella,Bonafant,5lm8sUiBZWT,1
,ewisden0,Ernestus,Wisden,Thz3XfIg,0
,flimern,Filip,Limer,HunWOjO,0
,fvenning1,Fallon,Venning,UnEEcegfna,0
,gfilipc,Gordan,Filip,909q9k,0
,gkiddellg,Galvin,Kiddell,E0u021Pb8A,0
,ilanchbury4,Imelda,Lanchbury,IgVvRiW4r,0
,jblemen9,Jody,Blemen,6W43C4tK,0
,jsparshottm,Jaine,Sparshott,YpShW8,0
,jthrussell3,Jorry,Thrussell,rlF2LY5,0
,jwarfield51,Jo,Warfield,iHz9eAD,0
,lsnailham6,Lucian,Snailham,ysgCbv,0
,mcrady52,Mollie,Crady,5kfGDje,0
,mdono53,Minnaminnie,Dono,wj9wm48U3MJ,0
,mpotbury8,Modesta,Potbury,ioPcQyVVfO,0
,oosmonda,Olga,Osmond,ZtaRY8uAWHr,0
